id,name,category,description
555,Nekoite,Minerals -12,"The delicate shards form a tiny pink meadow."
556,Orpiment,Minerals -12,"Despite its high toxicity, this Mineral is widely used in manufacturing and folk medicine."
557,Petrified Slime,Minerals -12,"This little guy may be 100,000 years old."
558,Thunder Egg,Minerals -12,"According to legend, angry thunder spirits would throw these stones at one another."
559,Pyrite,Minerals -12,"Commonly known as \"
560,Ocean Stone,Minerals -12,"An old legend claims these stones are the mosaics of ancient mermaids."
561,Ghost Crystal,Minerals -12,"There is an aura of coldness around this crystal."
562,Tigerseye,Minerals -12,"A stripe of shimmering gold gives this gem a warm luster."
563,Jasper,Minerals -12,"When polished, this stone becomes attractively luminous. Prized by ancient peoples for thousands of years."
564,Opal,Minerals -12,"Its internal structure causes it to reflect a rainbow of light."
565,Fire Opal,Minerals -12,"A rare variety of opal, named for its red spots."
566,Celestine,Minerals -12,"Some early life forms had bones made from this."
567,Marble,Minerals -12,"A very popular material for sculptures and construction."
568,Sandstone,Minerals -12,"A common type of stone with red and brown striations."
569,Granite,Minerals -12,"A speckled Mineral that is commonly used in construction."
570,Basalt,Minerals -12,"Forms near searing hot magma."
571,Limestone,Minerals -12,"A very common type of stone. It's not worth very much."
572,Soapstone,Minerals -12,"Because of its relatively soft consistency, this stone is very popular for carving."
573,Hematite,Minerals -12,"An iron-based Mineral with interesting magnetic properties."
574,Mudstone,Minerals -12,"A fine-grained rock made from ancient clay or mud."
575,Obsidian,Minerals -12,"A volcanic glass that forms when lava cools rapidly."
576,Slate,Minerals -12,"It's extremely resistant to water, making it a good roofing material."
577,Fairy Stone,Minerals -12,"An old miner's song suggests these are made from the bones of ancient fairies."
578,Star Shards,Minerals -12,"No one knows how these form. Some scientists claim that the microscopic structure displays unnatural regularity."
579,Prehistoric Scapula,Arch,"Commonly known as a \"
580,Prehistoric Tibia,Arch,"A thick and sturdy leg bone."
581,Prehistoric Skull,Arch,"This is definitely a mammalian skull."
582,Skeletal Hand,Arch,"It's a wonder all these ancient little pieces lasted so long."
583,Prehistoric Rib,Arch,"Little gouge marks on the side suggest that this rib was someone's dinner."
584,Prehistoric Vertebra,Arch,"A segment of some prehistoric creature's spine."
585,Skeletal Tail,Arch,"It's pretty short for a tail."
586,Nautilus Fossil,Arch,"This must've washed up ages ago from an ancient coral reef. "
587,Amphibian Fossil,Arch,"The relatively short hind legs suggest some kind of primordial toad."
588,Palm Fossil,Arch,"Palm Fossils are relatively common, but this happens to be a particularly well-preserved specimen."
589,Trilobite,Arch,"A long extinct relative of the crab."
590,Artifact Spot,asdf,"Uh... how did you get this in your inventory? Ape made a booboo."
591,Tulip,Basic -80,"The most popular spring flower. Has a very faint sweet smell."
593,Summer Spangle,Basic -80,"A tropical bloom that thrives in the humid summer air. Has a sweet, tangy aroma."
595,Fairy Rose,Basic -80,"An old folk legend suggests that the sweet smell of this flower attracts fairies."
597,Blue Jazz,Basic -80,"The flower grows in a sphere to invite as many butterflies as possible."
599,Sprinkler,Crafting -8,"Waters the 4 adjacent tiles every morning."
376,Poppy,Basic -80,"In addition to its colorful flower, the Poppy has culinary and medicinal uses."
604,Plum Pudding,Cooking -7,"A traditional holiday treat."
605,Artichoke Dip,Cooking -7,"It's cool and refreshing."
606,Stir Fry,Cooking -7,"Julienned vegetables on a bed of rice."
607,Roasted Hazelnuts,Cooking -7,"The roasting process creates a rich forest flavor."
608,Pumpkin Pie,Cooking -7,"Silky pumpkin cream in a flakey crust."
609,Radish Salad,Cooking -7,"The radishes are so crisp!"
610,Fruit Salad,Cooking -7,"A delicious combination of summer fruits."
611,Blackberry Cobbler,Cooking -7,"There's nothing quite like it."
612,Cranberry Candy,Cooking -7,"It's sweet enough to mask the bitter fruit."
613,Apple,Basic -79,"A crisp fruit used for juice and cider."
614,Green Tea,Basic -26,"A pleasant, energizing beverage made from lightly processed tea leaves."
618,Bruschetta,Cooking -7,"Roasted tomatoes on a crisp white bread."
621,Quality Sprinkler,Crafting -8,"Waters the 8 adjacent tiles every morning."
645,Iridium Sprinkler,Crafting -8,"Waters the 24 adjacent tiles every morning."
648,Coleslaw,Cooking -7,"It's light, fresh and very healthy."
649,Fiddlehead Risotto,Cooking -7,"A creamy rice dish served with sauteed fern heads. It's a little bland."
651,Poppyseed Muffin,Cooking -7,"It has a soothing effect."
628,Cherry Sapling,Basic -74,"Takes 28 days to produce a mature Cherry tree. Bears fruit in the spring. Only grows if the 8 surrounding \"
629,Apricot Sapling,Basic -74,"Takes 28 days to produce a mature Apricot tree. Bears fruit in the spring. Only grows if the 8 surrounding \"
630,Orange Sapling,Basic -74,"Takes 28 days to produce a mature Orange tree. Bears fruit in the summer. Only grows if the 8 surrounding \"
631,Peach Sapling,Basic -74,"Takes 28 days to produce a mature Peach tree. Bears fruit in the summer. Only grows if the 8 surrounding \"
632,Pomegranate Sapling,Basic -74,"Takes 28 days to produce a mature Pomegranate tree. Bears fruit in the fall. Only grows if the 8 surrounding \"
633,Apple Sapling,Basic -74,"Takes 28 days to produce a mature Apple tree. Bears fruit in the fall. Only grows if the 8 surrounding \"
634,Apricot,Basic -79,"A tender little fruit with a rock-hard pit."
635,Orange,Basic -79,"Juicy, tangy, and bursting with sweet summer aroma."
636,Peach,Basic -79,"It's almost fuzzy to the touch."
637,Pomegranate,Basic -79,"Within the fruit are clusters of juicy seeds."
638,Cherry,Basic -79,"It's popular, and ripens sooner than most other fruits."
668,Stone,Basic,"There's stone ore in this stone."
670,Stone,Basic,"There's stone ore in this stone."
674,Weeds,Basic,"Ugly weeds."
675,Weeds,Basic,"Ugly weeds."
676,Weeds,Basic,"Ugly weeds."
677,Weeds,Basic,"Ugly weeds."
678,Weeds,Basic,"Ugly weeds."
679,Weeds,Basic,"Ugly weeds."
680,Green Slime Egg,Basic,"Can be hatched in a slime incubator."
681,Rain Totem,Crafting,"Activate to greatly increase the chance for rain tomorrow. Consumed on use."
682,Mutant Carp,Fish -4,"The strange waters of the sewer turned this carp into a monstrosity."
684,Bug Meat,Basic -28,"It's a juicy wad of bug flesh."
685,Bait,Basic -21,"Causes fish to bite faster. Must first be attached to a fishing rod."
686,Spinner,Basic -22,"The shape makes it spin around in the water. Slightly increases the bite-rate when fishing."
687,Dressed Spinner,Basic -22,"The metal tab and colorful streamers create an enticing spectacle for fish. Increases the bite-rate when fishing."
688,Warp Totem: Farm,Crafting,"Warp directly to your house. Consumed on use."
689,Warp Totem: Mountains,Crafting,"Warp directly to the mountains. Consumed on use."
690,Warp Totem: Beach,Crafting,"Warp directly to the beach. Consumed on use."
691,Barbed Hook,Basic -22,"Makes your catch more secure, causing the \"
692,Lead Bobber,Basic -22,"Adds weight to your \"
693,Treasure Hunter,Basic -22,"Fish don't escape while collecting treasures. Also slightly increases the chance to find treasures."
694,Trap Bobber,Basic -22,"Causes fish to escape slower when you aren't reeling them in."
695,Cork Bobber,Basic -22,"Slightly increases the size of your \"
698,Sturgeon,Fish -4,"An ancient bottom-feeder with a dwindling population. Females can live up to 150 years."
699,Tiger Trout,Fish -4,"A rare hybrid trout that cannot bear offspring of its own."
700,Bullhead,Fish -4,"A relative of the catfish that eats a variety of foods off the lake bottom."
701,Tilapia,Fish -4,"A primarily vegetarian fish that prefers warm water."
702,Chub,Fish -4,"A common freshwater fish known for its voracious appetite."
703,Magnet,Basic -21,"Increases the chance of finding treasures when fishing. However, fish aren't crazy about the taste."
704,Dorado,Fish -4,"A fierce carnivore with brilliant orange scales."
705,Albacore,Fish -4,"Prefers temperature \"
706,Shad,Fish -4,"Lives in a school at sea, but returns to the rivers to spawn."
707,Lingcod,Fish -4,"A fearsome predator that will eat almost anything it can cram into its mouth."
708,Halibut,Fish -4,"A flat fish that lives on the ocean floor."
709,Hardwood,Basic -16,"A special kind of wood with superior strength and beauty."
710,Crab Pot,Crafting,"Place it in the water, load it with bait, and check the next day to see if you've caught anything. Works in streams, lakes, and the ocean."
715,Lobster,Fish -4,"A large ocean-dwelling crustacean with a strong tail."
716,Crayfish,Fish -4,"A small freshwater relative of the lobster."
717,Crab,Fish -4,"A marine crustacean with two powerful pincers."
718,Cockle,Fish -4,"A common saltwater clam."
719,Mussel,Fish -4,"A common bivalve that often lives in clusters."
720,Shrimp,Fish -4,"A scavenger that feeds off the ocean floor. Widely prized for its meat."
721,Snail,Fish -4,"A wide-ranging mollusc that lives in a spiral shell."
722,Periwinkle,Fish -4,"A tiny freshwater snail that lives in a blue shell."
723,Oyster,Fish -4,"Constantly filters water to find food. In the process, it removes dangerous toxins from the environment."
724,Maple Syrup,Basic -27,"A sweet syrup with a unique flavor."
725,Oak Resin,Basic -27,"A sticky, fragrant substance derived from oak sap."
726,Pine Tar,Basic -27,"A pungent substance derived from pine sap."
727,Chowder,Cooking -7,"A perfect way to warm yourself after a cold night at sea."
730,Lobster Bisque,Cooking -7,"This delicate soup is a secret family recipe of Willy's."
728,Fish Stew,Cooking -7,"It smells a lot like the sea. Tastes better, though."
729,Escargot,Cooking -7,"Butter-soaked snails cooked to perfection."
731,Maple Bar,Cooking -7,"It's a sweet doughnut topped with a rich maple glaze."
732,Crab Cakes,Cooking -7,"Crab, bread crumbs, and egg formed into patties then fried to a golden brown."
733,Shrimp Cocktail,Cooking -7,"A sumptuous appetizer made with freshly-caught shrimp."
734,Woodskip,Fish -4,"A very sensitive fish that can only live in pools deep in the forest."
745,Strawberry Seeds,Seeds -74,"Plant these in spring. Takes 8 days to mature, and keeps producing strawberries after that."
746,Jack-O-Lantern,Crafting -8,"A whimsical fall decoration."
747,Rotten Plant,Basic -20,"Decomposing organic material. It's slimy and unpleasant."
748,Rotten Plant,Basic -20,"Decomposing organic material. It's slimy and unpleasant."
749,Omni Geode,Basic,"A blacksmith can break this open for you. These geodes contain a wide variety of Minerals."
750,Weeds,Basic,"Ugly weeds."
751,Stone,Basic,"There's copper ore in this stone."
760,Stone,Basic,"..."
762,Stone,Basic,"..."
764,Stone,Basic,"gold ore"
765,Stone,Basic,"iridium ore"
766,Slime,Basic -28,"A shimmering, gelatinous glob with no smell."
767,Bat Wing,Basic -28,"The material is surprisingly delicate."
768,Solar Essence,Basic -28,"The glowing face is warm to the touch."
769,Void Essence,Basic -28,"It's quivering with dark energy."
770,Mixed Seeds,Seeds -74,"There's a little bit of everything here. Plant them and see what grows!"
771,Fiber,Basic -16,"Raw material sourced from plants."
772,Oil of Garlic,Cooking -7,"Drink this and weaker monsters will avoid you."
773,Life Elixir,Cooking -7,"Restores health to full."
774,Wild Bait,Basic -21,"A unique recipe from Linus that gives you a chance to catch two fish at once."
775,Glacierfish,Fish -4,"Builds a nest on the underside of glaciers."
784,Weeds,Basic,"Ugly weeds."
785,Weeds,Basic,"Ugly weeds."
786,Weeds,Basic,"Ugly weeds."
787,Battery Pack,Basic -16,"It's fully charged with precious energy."
788,Lost Axe,Quest,"Robin's been looking everywhere for it."
789,Lucky Purple Shorts,Quest,"Better not inspect these too closely."
790,Berry Basket,Quest,"The fibers are stained with berry juice."
792,Weeds,Basic,"Ugly weeds."
793,Weeds,Basic,"Ugly weeds."
794,Weeds,Basic,"Ugly weeds."
795,Void Salmon,Fish -4,"A salmon, twisted by void energy. The fresh meat is jet black, but rapidly turns pink when exposed to air."
796,Slimejack,Fish -4,"He's coated in a very thick layer of slime. He keeps slipping out of your hands!"
797,Pearl,Basic,"A rare treasure from the sea."
798,Midnight Squid,Fish -4,"A strange and mysterious denizen of the ocean's twilight depths."
799,Spook Fish,Fish -4,"The huge eyes can detect the faint silhouettes of prey."
800,Blobfish,Fish -4,"This odd creature floats above the ocean floor, consuming any edible material in its path."
801,Wedding Ring,Ring,"An old Zuzu City tradition... It's used to ask for another farmer's hand in marriage."
802,Cactus Seeds,Seeds -74,"Can only be grown indoors. Takes 12 days to mature, and then produces fruit every 3 days."
803,Iridium Milk,Basic,"A powerful 'milk' of unknown origin..."
805,Tree Fertilizer,Basic -19,"Sprinkle on a wild tree to ensure rapid growth, even in winter. Doesn't work on fruit trees."
807,Dinosaur Mayonnaise,Basic -26,"It's thick and creamy, with a vivid green hue. It smells like grass and leather."
808,Void Ghost Pendant,Basic,"It's symbolic to the shadow people. As a gift, it signifies the desire to move in together as friends."
809,Movie Ticket,Basic,"Admits one to the movie theater. Giving this to a friend invites them to the movies with you."
810,Crabshell Ring,Ring,"The top of the ring is made from enchanted crab shell."
811,Napalm Ring,Ring,"When you defeat an enemy, they explode."
812,Roe,Basic -23,"Fresh fish eggs. These can be aged in a preserves jar to bring out more flavor."
445,Caviar,Basic -26,"The cured roe of a sturgeon fish. Considered to be a luxurious delicacy!"
814,Squid Ink,Basic -23,"Squid use this ink to confuse would-be predators."
815,Tea Leaves,Basic -75,"The young leaves of the tea plant. Can be brewed into the popular, energizing beverage."
267,Flounder,Fish -4,"It lives on the bottom, so both eyes are on top of its head."
265,Seafoam Pudding,Cooking -7,"This briny pudding will really get you into the maritime mindset!"
269,Midnight Carp,Fish -4,"This shy fish only feels comfortable at night."
292,Mahogany Seed,Crafting -74,"This can be planted to grow a mahogany tree."
289,Ostrich Egg,Basic -5,"It may be the world's largest egg."
25,Stone,Basic,"There's mussels in this stone."
73,Golden Walnut,Basic,"To the parrots of Ginger Island, this nut is the finest delicacy."
69,Banana Sapling,Basic -74,"Takes 28 days to produce a mature Banana tree. Bears fruit in the summer, or all year round when planted on Ginger Island."
91,Banana,Basic -79,"A sweet, starchy tropical fruit."
791,Golden Coconut,Quest,"This is one tough nut to crack, but a professional might be able to break it open."
816,Stone,Basic,"..."
817,Stone,Basic,"..."
818,Stone,Basic,"..."
819,Stone,Basic,"..."
820,Fossilized Skull,Basic,"It's a perfect specimen!"
821,Fossilized Spine,Basic,"A column of interlocking vertebrae."
822,Fossilized Tail,Basic,"This tail has a club-like feature at the tip."
823,Fossilized Leg,Basic,"A thick and sturdy leg bone."
824,Fossilized Ribs,Basic,"Long ago, these ribs protected the body of a large animal."
825,Snake Skull,Basic,"A preserved skull that once belonged to a snake."
826,Snake Vertebrae,Basic,"It appears this serpent may have been extremely flexible."
827,Mummified Bat,Basic,"The delicate wings have been perfectly preserved."
828,Mummified Frog,Basic,"This ancient frog may have lived in the jungle canopy."
829,Ginger,Basic -81,"This sharp, spicy root is said to increase vitality."
830,Taro Root,Basic -75,"This starchy root is one of the most ancient crops."
831,Taro Tuber,Seeds -74,"Plant these in warm weather. Takes 10 days to mature. Grows faster if planted near a body of water."
832,Pineapple,Basic -79,"A sweet and tangy tropical treat."
833,Pineapple Seeds,Seeds -74,"Plant these in warm weather. Takes 14 days to mature, and keeps producing fruit after that."
834,Mango,Basic -79,"A big, sweet tropical fruit with a unique flavor."
835,Mango Sapling,Basic -74,"Takes 28 days to produce a mature Mango tree. Bears fruit in the summer, or all year round when planted on Ginger Island."
836,Stingray,Fish -4,"Despite having a toxic stinger, these fish are shy and prefer to avoid humans."
837,Lionfish,Fish -4,"An aggressive, predatory fish with venomous spines."
838,Blue Discus,Fish -4,"A brightly colored tropical fish that is popular in aquariums."
839,Thorns Ring,Ring,"When enemies damage you, they will take damage themselves."
840,Rustic Plank Floor,Crafting -24,"Place on the ground to create paths or to decorate your floors."
841,Stone Walkway Floor,Crafting -24,"Place on the ground to create paths or to decorate your floors."
842,Journal Scrap,asdf,"A damp tattered page torn from an old journal..."
843,Stone,Basic,"..."
844,Stone,Basic,"..."
845,Stone,Basic,"..."
846,Stone,Basic,"..."
847,Stone,Basic,"..."
848,Cinder Shard,Basic -15,"You can feel a warm glow from within this stone."
849,Stone,Basic,"..."
850,Stone,Basic,"..."
851,Magma Cap,Basic -81,"A very rare mushroom that lives next to pools of lava."
852,Dragon Tooth,Basic,"These are rumored to be the teeth of ancient serpents. The enamel is made of pure iridium!"
856,Curiosity Lure,Basic -22,"Increases your chance to catch rare fish."
857,Tiger Slime Egg,Basic,"Can be hatched in a slime incubator. Use with extreme caution!"
858,Qi Gem,Basic,"A special currency honored by Mr. Qi."
859,Lucky Ring,Ring,"The lunar emblem is said to bring good luck to whoever wears it."
860,Hot Java Ring,Ring,"Greatly increases your chance to find coffee drinks when slaying monsters."
861,Protection Ring,Ring,"Stay invincible for a little while longer after taking damage."
862,Soul Sapper Ring,Ring,"Gain a little bit of energy every time you slay a monster."
863,Phoenix Ring,Ring,"Once a day, regain some health after being knocked out in combat."
864,War Memento,Quest,"It's a faded photograph of a soldier..."
865,Gourmet Tomato Salt,Quest,"A rare, delicious and savory salt."
866,Stardew Valley Rose,Quest,"A rose that reminds you of the valley. It smells heavenly."
867,Advanced TV Remote,Quest,"It has more buttons than a regular remote. Perfect for the avid TV watcher!"
868,Arctic Shard,Quest,"This shard glows with an otherworldly blue light."
869,Wriggling Worm,Quest,"It's a wriggling, wet worm."
870,Pirate's Locket,Quest,"It's an old pirate's keepsake."
872,Fairy Dust,Basic,"Sprinkle on kegs, furnaces, and other refining equipment to instantly receive their product."
873,Piña Colada,Cooking -7,"Drink in moderation."
874,Bug Steak,Crafting,"The last resort of the hungry cave diver."
875,Ectoplasm,Quest,"A thick, slimy goop that the Wizard wants for some reason."
876,Prismatic Jelly,Quest,"Harvested from the rare and elusive prismatic slime."
877,Quality Bobber,Basic -22,"Boosts the quality of fish that you catch."
879,Monster Musk,Crafting,"Spray this on to draw more monsters out of hiding."
880,Combined Ring,Ring,"..."
881,Bone Fragment,Basic -15,"A small piece of bone."
882,Weeds,Crafting,"..."
883,Weeds,Crafting,"..."
884,Weeds,Crafting,"..."
885,Fiber Seeds,Seeds -74,"Plant these in any season. Does not require watering. Harvest with the scythe. Takes 7 days to grow."
886,Warp Totem: Island,Crafting,"Warp directly to Ginger Island. Consumed on use."
887,Immunity Band,Ring,"The top of the ring is made from enchanted purple wool."
888,Glowstone Ring,Ring,"Emits a constant light, and also increases your radius for collecting items."
889,Qi Fruit,Basic -79,"Mr. Qi has challenged you to ship 500 of these strange melons."
890,Qi Bean,Seeds -74,"Plant these in any season. Water every day to produce a Qi Fruit. Takes 4 days to mature."
891,Mushroom Tree Seed,Crafting -74,"Place this on your farm to plant a mushroom tree."
892,Warp Totem: Qi's Arena,Crafting,"Warp to Qi's Arena. Be prepared for a challenge!."
893,Fireworks (Red),Crafting -8,"An old tradition for celebrations and festivities. Handle with care!"
894,Fireworks (Purple),Crafting -8,"An old tradition for celebrations and festivities. Handle with care!"
895,Fireworks (Green),Crafting -8,"An old tradition for celebrations and festivities. Handle with care!"
896,Galaxy Soul,Crafting,"Forge 3 of these into a Galaxy weapon to unleash its final form."
897,Pierre's Missing Stocklist,Quest,"Pierre might be interested in this."
898,Son of Crimsonfish,Fish -4,"He hatched in the warm summer water, and followed in the footsteps of his father."
899,Ms. Angler,Fish -4,"Uses a bioluminescent dangler to attract prey."
900,Legend II,Fish -4,"The successor to the original Legend."
901,Radioactive Carp,Fish -4,"A carp that spent one too many years in toxic sludge."
902,Glacierfish Jr.,Fish -4,"The original Glacierfish had a son..."
903,Ginger Ale,Cooking -7,"A zesty soda known for its soothing effect on the stomach."
904,Banana Pudding,Cooking -7,"A creamy dessert with a wonderful tropical flavor."
905,Mango Sticky Rice,Cooking -7,"Sweet mango and coconut transforms this rice into something very special."
906,Poi,Cooking -7,"A traditional food with a delicate, sweet flavor when eaten fresh."
907,Tropical Curry,Cooking -7,"An exotic, fragrant curry served in a pineapple bowl."
908,Magic Bait,Basic -21,"Allows you to catch fish from any season, time, or weather, from whichever type of water you cast into."
909,Radioactive Ore,Basic -15,"It's glowing with dangerous energy... Can be smelted into bars."
910,Radioactive Bar,Basic -15,"Known by the Zuzu City Safety Commission to cause irreversible bodily harm."
911,Horse Flute,Crafting,"Playing this flute will summon your horse. Only works outdoors."
913,Enricher,Basic,"Place on a sprinkler and load with fertilizer to automatically apply it when planting seeds nearby."
915,Pressure Nozzle,Basic,"Place on a sprinkler to increase its watering range."
917,Qi Seasoning,Basic,"Just a dash will elevate any dish to extraordinary heights. Automatically applied when cooking."
918,Hyper Speed-Gro,Basic -19,"Greatly stimulates leaf production. Guaranteed to increase growth rate by at least 33%. Mix into tilled soil."
919,Deluxe Fertilizer,Basic -19,"Greatly improves soil quality, increasing your chance to grow quality crops. Mix into tilled soil."
920,Deluxe Retaining Soil,Basic -19,"This soil has a 100% chance of staying watered overnight. Mix into tilled soil."
921,Squid Ink Ravioli,Cooking -7,"Temporarily protects from debuffs."
922,SupplyCrate,Crafting,"..."
923,SupplyCrate,Crafting,"..."
924,SupplyCrate,Crafting,"..."
925,Slime Crate,Crafting,"Use this to transport a domesticated slime to another location."
926,Cookout Kit,Crafting,"Use this to create a cooking campfire, allowing you to cook on-the-go!"
927,Camping Stove,Crafting,"This allows you to cook anywhere, and is not consumed on use."
928,Golden Egg,Basic -5,"A very rare and special egg with a solid gold shell."
929,Hedge,Crafting -8,"A shaped bush that acts like a fence."
930,???,Basic,"???"
